Summary,Issue Type,Labels,Description
"[S3] Page Register + Login",Task,S3 C7 2pts,"[2 pts | Très haute | C7] Register deux onglets email/wallet. Email : formulaire complet + org. Wallet : Connect sign displayName org. POST /auth/register. JWT localStorage. Login email+password. Redirection /dashboard."
"[S3] Dashboard admin + CreateElection + CSV upload",Task,S3 C7 2pts,"[2 pts | Très haute | C7] Dashboard GET /elections liste statuts. CreateElection formulaire multi-étapes config choix CSV récap. CsvUploader drag and drop aperçu erreurs. POST /elections puis POST /voters/import. Bouton Déployer."
"[S3] Page Vote — uninominal + tx wallet ou custodial",Task,S3 C7 2pts,"[2 pts | Très haute | C7] Afficher choix radio buttons. useContractWrite wagmi VerivoElection.vote(choiceIndex) si wallet. POST /vote si custodial. TransactionStatus pending confirmed. Afficher txHash lien Polygonscan."
"[S3] Page PublicResults + Page MyBadges",Task,S3 C7 C3 2pts,"[2 pts | Haute | C7 C3] PublicResults sans auth : tableau résultats stats preuves blockchain liens Polygonscan. MyBadges : grille BadgeCard image titre participation lien explorateur."
"[S3] Script deploy.js + déployer sur Polygon Amoy",Task,S3 C8 1pt,"[1 pt | Très haute | C8] scripts/deploy.js déploie VotingNFT Election ParticipationBadge. Sauvegarde adresses deployments/amoy.json. Faucet MATIC. npx hardhat run scripts/deploy.js --network amoy."
"[S3] Vérifier contrats Polygonscan + test E2E testnet",Task,S3 C8 C6 2pts,"[2 pts | Très haute | C8 C6] npx hardhat verify --network amoy. Test E2E : deploy mint 3 NFTs 3 votes close tally getResults vérifier compteurs. Preuve interactions réseau réel. Screenshots."
"[S4] Sécurité + CI + docs",Epic,S4 C1 C4 C5,"Semaine 4 — Audit sécurité tableau attaques CI/CD hébergement cahier des charges soutenance. Charge totale : 6 points."
"[S4] Slither + gas + tableau attaques connues",Task,S4 C4 2pts,"[2 pts | Haute | C4] Slither sur 3 contrats corriger high/medium. Gas-reporter vote<100k. Tableau 10 attaques SC + 7 attaques web + analyse interactions utilisateur. Contre-mesure pour chacune."
"[S4] Pipeline GitHub Actions + hébergement public",Task,S4 C5 C7 2pts,"[2 pts | Haute | C5 C7] CI .github/workflows/ci.yml : compile test coverage lint. Hébergement frontend Vercel/Netlify backend Railway/VPS. URLs publiques fonctionnelles."
"[S4] Cahier des charges final + soutenance",Task,S4 C1 2pts,"[2 pts | Très haute | C1] Screenshots URLs live adresses contrats Polygonscan schéma fonctionnel. Slides soutenance : contexte apport blockchain archi démo live sécurité argumentaire."
